noc,noc_title,onetsoc_code
22312,Industrial instrument technicians and mechanics,49-9041.00
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",17-3021.00
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",49-2091.00
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",49-3011.00
30010,Managers in health care,11-9111.00
30010,Managers in health care,15-2051.02
31100,Specialists in clinical and laboratory medicine,29-1211.00
31100,Specialists in clinical and laboratory medicine,29-1212.00
31100,Specialists in clinical and laboratory medicine,29-1213.00
31100,Specialists in clinical and laboratory medicine,29-1216.00
31100,Specialists in clinical and laboratory medicine,29-1217.00
31100,Specialists in clinical and laboratory medicine,29-1218.00
31100,Specialists in clinical and laboratory medicine,29-1221.00
31100,Specialists in clinical and laboratory medicine,29-1222.00
31100,Specialists in clinical and laboratory medicine,29-1223.00
31100,Specialists in clinical and laboratory medicine,29-1224.00
31100,Specialists in clinical and laboratory medicine,29-1229.02
31100,Specialists in clinical and laboratory medicine,29-1229.03
31100,Specialists in clinical and laboratory medicine,29-1229.06
31100,Specialists in clinical and laboratory medicine,29-1241.00
31101,Specialists in surgery,29-1211.00
31101,Specialists in surgery,29-1217.00
31101,Specialists in surgery,29-1218.00
31101,Specialists in surgery,29-1221.00
31101,Specialists in surgery,29-1223.00
31101,Specialists in surgery,29-1224.00
31101,Specialists in surgery,29-1229.03
31101,Specialists in surgery,29-1242.00
31101,Specialists in surgery,29-1243.00
31101,Specialists in surgery,29-1249.00
31101,Specialists in surgery,29-9093.00
31102,General practitioners and family physicians,29-1214.00
31102,General practitioners and family physicians,29-1215.00
31102,General practitioners and family physicians,29-1229.00
31102,General practitioners and family physicians,29-1229.01
31102,General practitioners and family physicians,29-1229.04
31102,General practitioners and family physicians,29-1229.05
31103,Veterinarians,29-1131.00
31110,Dentists,29-1021.00
31110,Dentists,29-1022.00
31110,Dentists,29-1023.00
31110,Dentists,29-1024.00
31110,Dentists,29-1029.00
31111,Optometrists,29-1041.00
31112,Audiologists and speech-language pathologists,29-1127.00
31112,Audiologists and speech-language pathologists,29-1181.00
31120,Pharmacists,29-1051.00
31121,Dietitians and nutritionists,21-1091.00
31121,Dietitians and nutritionists,29-1031.00
31200,Psychologists,19-3032.00
31200,Psychologists,19-3033.00
31200,Psychologists,19-3033.00
31200,Psychologists,19-3033.00
31200,Psychologists,19-3034.00
31200,Psychologists,19-3039.00
31200,Psychologists,19-3039.03
31201,Chiropractors,29-1011.00
31202,Physiotherapists,29-1123.00
31203,Occupational therapists,29-1122.00
31203,Occupational therapists,29-1122.01
31204,Kinesiologists and other professional occupations in therapy and assessment,29-1122.01
31204,Kinesiologists and other professional occupations in therapy and assessment,29-1125.00
31204,Kinesiologists and other professional occupations in therapy and assessment,29-1129.02
31204,Kinesiologists and other professional occupations in therapy and assessment,29-9091.00
31209,Other professional occupations in health diagnosing and treating,29-1081.00
31209,Other professional occupations in health diagnosing and treating,29-1299.00
31209,Other professional occupations in health diagnosing and treating,29-1299.01
31209,Other professional occupations in health diagnosing and treating,29-1299.02
31209,Other professional occupations in health diagnosing and treating,29-2051.00
31209,Other professional occupations in health diagnosing and treating,29-2053.00
31209,Other professional occupations in health diagnosing and treating,29-2055.00
31209,Other professional occupations in health diagnosing and treating,29-2057.00
31209,Other professional occupations in health diagnosing and treating,29-2099.00
31209,Other professional occupations in health diagnosing and treating,29-2099.01
31209,Other professional occupations in health diagnosing and treating,29-2099.05
31209,Other professional occupations in health diagnosing and treating,31-2011.00
31209,Other professional occupations in health diagnosing and treating,31-9096.00
31209,Other professional occupations in health diagnosing and treating,31-9099.02
31300,Nursing coordinators and supervisors,29-2099.08
31301,Registered nurses and registered psychiatric nurses,29-1141.00
31301,Registered nurses and registered psychiatric nurses,29-1141.01
31301,Registered nurses and registered psychiatric nurses,29-1141.02
31301,Registered nurses and registered psychiatric nurses,29-1141.03
31301,Registered nurses and registered psychiatric nurses,29-1141.04
31301,Registered nurses and registered psychiatric nurses,29-1151.00
31301,Registered nurses and registered psychiatric nurses,29-1161.00
31302,Nurse practitioners,29-1171.00
31302,Nurse practitioners,29-9099.01
31303,"Physician assistants, midwives and allied health professionals",21-1013.00
31303,"Physician assistants, midwives and allied health professionals",21-1021.00
31303,"Physician assistants, midwives and allied health professionals",29-1071.00
31303,"Physician assistants, midwives and allied health professionals",29-1071.01
31303,"Physician assistants, midwives and allied health professionals",29-1081.00
31303,"Physician assistants, midwives and allied health professionals",29-1299.00
31303,"Physician assistants, midwives and allied health professionals",29-1299.01
31303,"Physician assistants, midwives and allied health professionals",29-1299.02
31303,"Physician assistants, midwives and allied health professionals",29-2012.00
31303,"Physician assistants, midwives and allied health professionals",29-9092.00
31303,"Physician assistants, midwives and allied health professionals",29-9099.01
31303,"Physician assistants, midwives and allied health professionals",31-9097.00
32100,Opticians,29-2081.00
32101,Licensed practical nurses,29-2061.00
32102,Paramedical occupations,29-2042.00
32102,Paramedical occupations,29-2043.00
32102,Paramedical occupations,53-3011.00
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",29-1126.00
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",29-9099.01
32104,Animal health technologists and veterinary technicians,19-1011.00
32104,Animal health technologists and veterinary technicians,29-2056.00
32109,Other technical occupations in therapy and assessment,29-1123.00
32109,Other technical occupations in therapy and assessment,29-1291.00
32109,Other technical occupations in therapy and assessment,29-2092.00
32109,Other technical occupations in therapy and assessment,29-9099.00
32109,Other technical occupations in therapy and assessment,31-2012.00
32109,Other technical occupations in therapy and assessment,31-2021.00
32109,Other technical occupations in therapy and assessment,31-2022.00
32109,Other technical occupations in therapy and assessment,31-9092.00
32109,Other technical occupations in therapy and assessment,31-9093.00
32109,Other technical occupations in therapy and assessment,31-9095.00
32109,Other technical occupations in therapy and assessment,31-9099.00
32109,Other technical occupations in therapy and assessment,31-9099.01
32109,Other technical occupations in therapy and assessment,51-9083.00
32110,Denturists,29-1021.00
32111,Dental hygienists and dental therapists,29-1292.00
32112,Dental technologists and technicians,51-9081.00
32120,Medical laboratory technologists,29-2011.00
32120,Medical laboratory technologists,29-2011.01
32120,Medical laboratory technologists,29-2011.02
32120,Medical laboratory technologists,29-2011.04
32120,Medical laboratory technologists,29-2012.00
32120,Medical laboratory technologists,29-2012.01
32120,Medical laboratory technologists,29-2033.00
32120,Medical laboratory technologists,29-2035.00
32120,Medical laboratory technologists,29-2036.00
32120,Medical laboratory technologists,31-9097.00
32121,Medical radiation technologists,29-1124.00
32121,Medical radiation technologists,29-2034.00
32122,Medical sonographers,29-2032.00
32123,Cardiology technologists and electrophysiological diagnostic technologists,29-2031.00
32124,Pharmacy technicians,29-2052.00
32129,Other medical technologists and technicians,29-2091.00
32129,Other medical technologists and technicians,51-9082.00
32200,Traditional Chinese medicine practitioners and acupuncturists,29-1291.00
32200,Traditional Chinese medicine practitioners and acupuncturists,29-1299.01
32201,Massage therapists,31-9011.00
32209,Other practitioners of natural healing,29-1291.00
32209,Other practitioners of natural healing,29-1299.01
33100,Dental assistants and dental laboratory assistants,31-9091.00
33100,Dental assistants and dental laboratory assistants,51-9081.00
33101,Medical laboratory assistants and related technical occupations,29-2012.00
33101,Medical laboratory assistants and related technical occupations,31-9097.00
33102,"Nurse aides, orderlies and patient service associates",29-2099.08
33102,"Nurse aides, orderlies and patient service associates",31-1121.00
33102,"Nurse aides, orderlies and patient service associates",31-1122.00
33102,"Nurse aides, orderlies and patient service associates",31-1131.00
33102,"Nurse aides, orderlies and patient service associates",31-1132.00
33102,"Nurse aides, orderlies and patient service associates",31-1133.00
33102,"Nurse aides, orderlies and patient service associates",31-9092.00
33103,Pharmacy technical assistants and pharmacy assistants,31-9095.00
33103,Pharmacy technical assistants and pharmacy assistants,31-9099.00
33103,Pharmacy technical assistants and pharmacy assistants,51-9082.00
33109,Other assisting occupations in support of health services,11-9121.01
33109,Other assisting occupations in support of health services,29-2092.00
33109,Other assisting occupations in support of health services,29-9099.00
33109,Other assisting occupations in support of health services,31-2012.00
33109,Other assisting occupations in support of health services,31-2021.00
33109,Other assisting occupations in support of health services,31-2022.00
33109,Other assisting occupations in support of health services,31-9092.00
33109,Other assisting occupations in support of health services,31-9093.00
33109,Other assisting occupations in support of health services,31-9099.00
33109,Other assisting occupations in support of health services,31-9099.01
33109,Other assisting occupations in support of health services,51-9083.00
40010,Government managers - health and social policy development and program administration,11-1021.00
40010,Government managers - health and social policy development and program administration,11-9151.00
40010,Government managers - health and social policy development and program administration,11-9199.00
40011,"Government managers - economic analysis, policy development and program administration",11-1021.00
40011,"Government managers - economic analysis, policy development and program administration",11-9199.00
40011,"Government managers - economic analysis, policy development and program administration",19-3011.00
40012,Government managers - education policy development and program administration,11-1021.00
40012,Government managers - education policy development and program administration,11-9199.00
40012,Government managers - education policy development and program administration,25-9031.00
40019,Other managers in public administration,11-9199.00
40019,Other managers in public administration,11-9199.01
40020,Administrators - post-secondary education and vocational training,11-9033.00
40021,School principals and administrators of elementary and secondary education,11-9031.00
40021,School principals and administrators of elementary and secondary education,11-9032.00
40021,School principals and administrators of elementary and secondary education,11-9039.00
40030,"Managers in social, community and correctional services",11-9151.00
40030,"Managers in social, community and correctional services",21-2021.00
40030,"Managers in social, community and correctional services",33-1011.00
40040,Commissioned police officers and related occupations in public protection services,33-1012.00
40041,Fire chiefs and senior firefighting officers,33-1021.00
40041,Fire chiefs and senior firefighting officers,33-1021.00
40042,Commissioned officers of the Canadian Armed Forces,55-1011.00
40042,Commissioned officers of the Canadian Armed Forces,55-1012.00
40042,Commissioned officers of the Canadian Armed Forces,55-1013.00
40042,Commissioned officers of the Canadian Armed Forces,55-1014.00
40042,Commissioned officers of the Canadian Armed Forces,55-1015.00
40042,Commissioned officers of the Canadian Armed Forces,55-1016.00
40042,Commissioned officers of the Canadian Armed Forces,55-1017.00
40042,Commissioned officers of the Canadian Armed Forces,55-1019.00
41100,Judges,23-1023.00
41101,Lawyers and Quebec notaries,23-1011.00
41200,University professors and lecturers,25-1011.00
41200,University professors and lecturers,25-1021.00
41200,University professors and lecturers,25-1022.00
41200,University professors and lecturers,25-1031.00
41200,University professors and lecturers,25-1032.00
41200,University professors and lecturers,25-1041.00
41200,University professors and lecturers,25-1042.00
41200,University professors and lecturers,25-1043.00
41200,University professors and lecturers,25-1051.00
41200,University professors and lecturers,25-1052.00
41200,University professors and lecturers,25-1053.00
41200,University professors and lecturers,25-1054.00
41200,University professors and lecturers,25-1061.00
41200,University professors and lecturers,25-1062.00
41200,University professors and lecturers,25-1063.00
41200,University professors and lecturers,25-1064.00
41200,University professors and lecturers,25-1065.00
41200,University professors and lecturers,25-1066.00
41200,University professors and lecturers,25-1067.00
41200,University professors and lecturers,25-1071.00
41200,University professors and lecturers,25-1072.00
41200,University professors and lecturers,25-1081.00
41200,University professors and lecturers,25-1082.00
41200,University professors and lecturers,25-1111.00
41200,University professors and lecturers,25-1112.00
41200,University professors and lecturers,25-1113.00
41200,University professors and lecturers,25-1121.00
41200,University professors and lecturers,25-1122.00
41200,University professors and lecturers,25-1123.00
41200,University professors and lecturers,25-1124.00
41200,University professors and lecturers,25-1125.00
41200,University professors and lecturers,25-1126.00
41200,University professors and lecturers,25-1192.00
41200,University professors and lecturers,25-1193.00
41201,Post-secondary teaching and research assistants,19-4061.00
41201,Post-secondary teaching and research assistants,25-9044.00
41210,College and other vocational instructors,25-1011.00
41210,College and other vocational instructors,25-1021.00
41210,College and other vocational instructors,25-1022.00
41210,College and other vocational instructors,25-1031.00
41210,College and other vocational instructors,25-1032.00
41210,College and other vocational instructors,25-1041.00
41210,College and other vocational instructors,25-1042.00
41210,College and other vocational instructors,25-1043.00
41210,College and other vocational instructors,25-1051.00
41210,College and other vocational instructors,25-1052.00
41210,College and other vocational instructors,25-1053.00
41210,College and other vocational instructors,25-1054.00
41210,College and other vocational instructors,25-1061.00
41210,College and other vocational instructors,25-1062.00
41210,College and other vocational instructors,25-1063.00
41210,College and other vocational instructors,25-1064.00
41210,College and other vocational instructors,25-1065.00
41210,College and other vocational instructors,25-1066.00
41210,College and other vocational instructors,25-1067.00
41210,College and other vocational instructors,25-1069.00
41210,College and other vocational instructors,25-1071.00
41210,College and other vocational instructors,25-1072.00
41210,College and other vocational instructors,25-1081.00
41210,College and other vocational instructors,25-1082.00
41210,College and other vocational instructors,25-1111.00
